,Distribution_type,U,Sigma,U2,Sigma2,mixing_prob,limitk,per_red,Objective_function_value,Solution_locations,Running_time(sec)
234,Normal_bimodal,180,20,300,50,0.4,300,50.0,920.0241125566085,6 9|6 1|11 8,19.5873927
235,Normal_bimodal,180,20,300,50,0.5,300,5.0,909.0474078608786,3 3|3 7|8 6,5.6700647
236,Normal_bimodal,180,20,300,50,0.5,300,15.0,865.6235164464422,6 9|0 3|10 1,20.0803064
237,Normal_bimodal,180,20,300,50,0.5,300,25.0,865.6235164464422,6 9|0 3|10 1,19.9599963
238,Normal_bimodal,180,20,300,50,0.5,300,40.0,865.6235164464422,6 9|0 3|10 1,19.7276577
239,Normal_bimodal,180,20,300,50,0.5,300,50.0,865.6235164464422,6 9|0 3|10 1,19.7038148
240,Normal_bimodal,180,20,300,50,0.6,300,5.0,865.9084158474752,2 1|4 9|10 7,5.6033478
241,Normal_bimodal,180,20,300,50,0.6,300,15.0,824.5719954692407,8 8|10 0|0 6,19.5482503
242,Normal_bimodal,180,20,300,50,0.6,300,25.0,824.5719954692407,8 8|10 0|0 6,19.7637903
243,Normal_bimodal,180,20,300,50,0.6,300,40.0,824.5719954692407,8 8|10 0|0 6,19.5136898
244,Normal_bimodal,180,20,300,50,0.6,300,50.0,824.5719954692407,8 8|10 0|0 6,20.3741629
245,Normal_bimodal,180,20,300,50,0.8,300,5.0,740.8176478423387,2 2|3 9|10 6,5.7121402
246,Normal_bimodal,180,20,300,50,0.8,300,15.0,736.4951376363357,7 7|9 7|3 1,19.6157448
